Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
7404,Capinzal do Norte,0.537,Baixo,PT,Baixo PT,20.83,1276,79.17,4850,6126
27375,Chã Preta,0.575,Baixo,PT,Baixo PT,20.84,788,79.16,2994,3782
4740,Curuá,0.578,Baixo,PT,Baixo PT,20.84,1482,79.16,5629,7111
33529,Banzaê,0.579,Baixo,PT,Baixo PT,20.84,1531,79.16,5815,7346
31836,Monte Alegre de Sergipe,0.553,Baixo,PT,Baixo PT,20.87,1643,79.13,6231,7874
38393,Rio do Pires,0.594,,PT, PT,20.87,1176,79.13,4459,5635
30910,Filadélfia,0.565,Baixo,PT,Baixo PT,20.89,1959,79.11,7417,9376
18759,Taipu,0.569,Baixo,PT,Baixo PT,20.89,1568,79.11,5938,7506
14052,Hidrolândia,0.597,,PT, PT,20.91,2278,79.09,8618,10896
10650,Demerval Lobão,0.618,,PT, PT,20.91,1807,79.09,6833,8640
7803,Lago dos Rodrigues,0.602,,PT, PT,20.93,1217,79.07,4598,5815
11738,Redenção do Gurguéia,0.589,,PT, PT,20.94,945,79.06,3568,4513
19216,Areia,0.594,,PT, PT,20.95,2853,79.05,10765,13618
51012,Rio do Prado,0.605,,PT, PT,20.99,536,79.01,2018,2554
31798,Maruim,0.618,,PT, PT,21.00,1860,79.00,6999,8859
36650,Jiquiriçá,0.553,Baixo,PT,Baixo PT,21.01,1469,78.99,5522,6991
8753,Poção de Pedras,0.576,Baixo,PT,Baixo PT,21.01,2159,78.99,8116,10275
19860,São Francisco,0.580,Baixo,PT,Baixo PT,21.01,608,78.99,2286,2894
34550,Cícero Dantas,0.585,,PT, PT,21.01,3724,78.99,14002,17726
35050,Elísio Medrado,0.623,,PT, PT,21.01,980,78.99,3684,4664
4766,Cachoeira do Piriá,0.473,Baixo,PT,Baixo PT,21.03,1720,78.97,6460,8180
9717,Zé Doca,0.595,,PT, PT,21.03,4658,78.97,17495,22153
20001,Santa Cecília,0.525,Baixo,PT,Baixo PT,21.05,981,78.95,3679,4660
10189,Coivaras,0.565,Baixo,PT,Baixo PT,21.07,759,78.93,2844,3603
